Animal ID;Gender;Genotype APP23;Genotype p40;Date of Birth;Date of Death;Age in Days
47;Male;APP23 +/-;p40+/+;01.12.2012;05.09.2014;634
48;Male;APP23 +/-;p40+/+;01.12.2012;05.09.2014;634
69;Male;APP23 +/-;p40+/+;24.12.2012;29.09.2014;635
114;Male;APP23 +/-;p40+/+;28.01.2013;12.11.2014;644
160;Male;APP23 +/-;p40+/+;09.03.2013;05.12.2014;626
161;Male;APP23 +/-;p40+/+;09.03.2013;05.12.2014;626
167;Male;APP23 +/-;p40+/+;09.03.2013;05.12.2014;626
182;Male;APP23 +/-;p40+/+;31.03.2013;06.01.2015;636
206;Male;APP23 +/-;p40+/+;10.04.2013;06.01.2015;626
254;Male;APP23 +/-;p40+/+;11.05.2013;11.02.2015;630
309;Female;APP23 +/-;p40+/+;06.07.2013;09.04.2015;633
310;Female;APP23 +/-;p40+/+;06.07.2013;09.04.2015;633
327;Female;APP23 +/-;p40+/+;11.07.2013;09.04.2015;628
346;Female;APP23 +/-;p40+/+;07.08.2013;07.05.2015;630
357;Female;APP23 +/-;p40+/+;18.08.2013;07.05.2015;619
368;Female;APP23 +/-;p40+/+;07.10.2013;15.07.2015;638
373;Female;APP23 +/-;p40+/+;07.10.2013;15.07.2015;638
81;Male;APP23 +/-;p40 -/-;04.01.2013;29.09.2014;625
84;Male;APP23 +/-;p40 -/-;04.01.2013;29.09.2014;625
95;Female;APP23 +/-;p40 -/-;06.01.2013;29.09.2014;623
130;Male;APP23 +/-;p40 -/-;04.02.2013;12.11.2014;638
187;Female;APP23 +/-;p40 -/-;31.03.2013;06.01.2015;636
210;Male;APP23 +/-;p40 -/-;12.04.2013;06.01.2015;624
240;Female;APP23 +/-;p40 -/-;08.05.2013;11.02.2015;633
249;Female;APP23 +/-;p40 -/-;08.05.2013;11.02.2015;633
263;Female;APP23 +/-;p40 -/-;13.05.2013;11.02.2015;628
333;Male;APP23 +/-;p40 -/-;04.08.2013;07.05.2015;633
366;Male;APP23 +/-;p40 -/-;07.10.2013;15.07.2015;638
427;Male;APP23 +/-;p40 -/-;11.03.2014;11.12.2015;630
441;Female;APP23 +/-;p40 -/-;11.03.2014;11.12.2015;630
450;Female;APP23 +/-;p40 -/-;26.03.2014;04.01.2016;638
457;Male;APP23 +/-;p40 -/-;28.03.2014;04.01.2016;636
462;Male;APP23 +/-;p40 -/-;23.04.2014;20.01.2016;627
465;Female;APP23 +/-;p40 -/-;23.04.2014;20.01.2016;627
273;Female;APP23 +/-;p40 -/-;28.05.2013;05.03.2015;637
276;Female;APP23 +/-;p40 -/-;28.05.2013;05.03.2015;637
279;Female;APP23 +/-;p40+/+;29.05.2013;05.03.2015;636
